Rank,in App,Person,Outlet / Platform,Primary Medium,ViewerScorey,Political Category 1,Previous in App,Match Status,Matched App Name,Possible Issue
145,,Nellie Bowles,THE FREE PRESS,Print,"799,965",Conservative,,Not in app,,
146,,Jonathan Martin,POLITICO,Print,"757,832",Very Liberal,,Not in app,,
147,,Glenn Loury,THE GLENN SHOW,Podcast,"748,613",Liberal,,Not in app,,
148,1,Sarah Longwell,THE BULWARK,Podcast,"722,937",Conservative,1,Exact app match,Sarah Longwell,
149,1,Glenn Beck,BLAZE,Radio,"697,262",Very Conservative,1,Exact app match,Glenn Beck,
150,,Eugene Daniels,POLITICO,Print,"671,586",Very Liberal,,Not in app,,
150,,Anne Applebaum,The Atlantic,Print,,Very Liberal,,Not in app,,
151,,George F. Will,The Washington Post,Print,,Conservative,,Not in app,,
152,,Derek Thompson,The Atlantic,Print,,Very Liberal,,Not in app,,
153,,David Ignatius,The Washington Post,Print,,Liberal,,Not in app,,
154,,Megan McArdle,The Washington Post,Print,,Liberal,,Not in app,,
155,,Kimberley A. Strassel,The Wall Street Journal,Print,,Liberal,,Not in app,,
156,,George Packer,The Atlantic,Print,,Very Liberal,,Not in app,,
157,,David Frum,The Atlantic,Print,,Very Liberal,,Not in app,,
158,,Greg Ip,The Wall Street Journal,Print,,Liberal,,Not in app,,
159,,Jason L. Riley,The Wall Street Journal,Print,,Liberal,,Not in app,,
160,1,Emily Jashinsky,MK MEDIA,Podcast,"1,210,778",Conservative,,Exact app match,Emily Jashinsky,App layer was not marked done in data 14
